"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00320856520198178201";DIREITO CIVIL;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00031574520188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00318264120178178201";DIREITO CIVIL;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;HOMOLOGACAO DE TRANSACAO EXTRAJUDICIAL (112)
"00012697020188172370";DIREITO CIVIL;"3A VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO";2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00124189320198178201";DIREITO CIVIL;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00012489820188178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00024997820148178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00494576120188178201";DIREITO CIVIL;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00172758520198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00009114220198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006693620188172730";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DE IPOJUCA";2020-01-11 00:00:00;ACAO CIVIL PUBLICA CIVEL (65)
