"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00242689020168190087";DANO MORAL OUTROS - CDC;REGIONAL DE ALCANTARA;2020-01-10 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00030547220198190205";DECLARACAO DE INEXISTENCIA DE DEBITO E / OU DA RELACAO JURIDICA;REGIONAL DE CAMPO GRANDE;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00488343920188190021";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;COMARCA DE DUQUE DE CAXIAS;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10050258520168260011";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-11 00:00:00;Apelação Cível
"10055203820178260224";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-10 00:00:00;Apelação Cível
"00007064420138170950";"";VARA UNICA DA COMARCA DE MIRANDIBA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00276167920188190206";DANO MORAL OUTROS - CDC;REGIONAL DE SANTA CRUZ;2020-01-12 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10859734320138260100";DIREITO CIVIL - Empresas - Recuperação judicial e Falência - Depósito Elisivo;;2020-01-11 00:00:00;Apelação Cível
"00110866320198190206";DECLARACAO DE INEXISTENCIA DE DEBITO E / OU DA RELACAO JURIDICA;REGIONAL DE SANTA CRUZ;2020-01-12 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10136196820188260577";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-11 00:00:00;Apelação Cível
"00032440820158170730";INDENIZACAO POR DANO MORAL;PRIMEIRA VARA CIVEL DA COMARCA DE IPOJUCA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00015498220168170730";FORNECIMENTO DE ENERGIA ELETRICA;PRIMEIRA VARA CIVEL DA COMARCA DE IPOJUCA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00152934620188172001";"";SECAO B DA 19A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00001679620198173010";ABATIMENTO PROPORCIONAL DO PRECO;VARA UNICA DA COMARCA DE OROCO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00044984420198172001";INDENIZACAO POR DANO MORAL;SECAO A DA 4A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00229002620158190202";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;REGIONAL DE MADUREIRA;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"03087784520178240033";Inclusão Indevida em Cadastro de Inadimplentes;;2020-01-12 00:00:00;Apelação Cível
"00094061220198190087";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;REGIONAL DE ALCANTARA;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00110421820178190011";FORNECIMENTO DE ENERGIA ELETRICA / CONTRATOS DE CONSUMO;COMARCA DE CABO FRIO;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00018107520188173220";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DE SALGUEIRO";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"03030272720168240061";Inclusão Indevida em Cadastro de Inadimplentes;;2020-01-12 00:00:00;Apelação Cível
"00002080320198173030";DIREITO DO CONSUMIDOR;"1A VARA CIVEL DA COMARCA DE PALMARES";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00028699720188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00161875620178172001";DIREITO DO CONSUMIDOR;SECAO A DA 5A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"10112249520188260224";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-12 00:00:00;Apelação Cível
"00002632420088171450";DEFEITO, NULIDADE OU ANULACAO;VARA UNICA DA COMARCA DE TAMANDARE;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00005102020188172140";"";"2A VARA DA COMARCA DE AGUA PRETA";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00054854620078170370";;TERCEIRA VARA CIVEL DA COMARCA DO CABO DE SANTO AGOSTINHO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00017728620148170380";"";SEGUNDA VARA DA COMARCA DE CABROBO;2020-01-10 00:00:00;PROCEDIMENTO SUMARIO
"00280463120128170001";"";TRIGESIMA VARA CIVEL DA CAPITAL - SECAO B;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"10005916120198260136";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-12 00:00:00;Apelação Cível
"00140564020148178201";DIREITO DO CONSUMIDOR;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00055404820178178226";FORNECIMENTO DE ENERGIA ELETRICA;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00001679620198173010";DIREITO DO CONSUMIDOR;VARA UNICA DA COMARCA DE OROCO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00065088520198178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00219628120198172001";DIREITO DO CONSUMIDOR;SECAO B DA 15A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00008415820198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00005386420188173020";DIREITO DO CONSUMIDOR;"2A VARA DA COMARCA DE OURICURI";2020-01-10 00:00:00;DUVIDA (100)
"00367571920198178201";"";"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00166620220188178201";OBRIGACAO DE FAZER;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00143120720198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00143120720198178201";OBRIGACAO DE FAZER;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00061035220138171090";"";TERCEIRA VARA CIVEL DA COMARCA DE PAULISTA;2020-01-10 00:00:00;CUMPRIMENTO DE SENTENCA
"00003343020188173340";INDENIZACAO POR DANO MATERIAL;"2A VARA DA COMARCA DE SAO JOSE DO EGITO";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00427175019988170001";;SEXTA VARA CIVEL DA CAPITAL - SECAO A;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00003180620078170190";"";VARA UNICA DA COMARCA DE AMARAJI;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00027616820188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"10313606620148260576";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-11 00:00:00;Apelação Cível
"00034751220198178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00166620220188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00028669720178178226";FORNECIMENTO DE ENERGIA ELETRICA;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00386797120198172001";DIREITO DO CONSUMIDOR;SECAO B DA 12A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00008415820198178221";PRESTACAO DE SERVICOS;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO - TURNO MANHA - 07:00H AS 13:00H;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00001618920198173010";DIREITO DO CONSUMIDOR;VARA UNICA DA COMARCA DE OROCO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00003151620198173590";DIREITO DO CONSUMIDOR;"3A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00171503020188172001";DIREITO CIVIL;SECAO A DA 27A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00057641120188173130";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"5A VARA CIVEL DA COMARCA DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00009354220198172001";DIREITO DO CONSUMIDOR;SECAO B DA 2A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"50641754320168090126";;;2020-01-10 00:00:00;
"00339953020198178201";OBRIGACAO DE FAZER;;2020-01-10 00:00:00;RECURSO INOMINADO
"00055404820178178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006436320198173260";INDENIZACAO POR DANO MORAL;VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00001707720198173260";DIREITO CIVIL;VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-10 00:00:00;PETICAO CIVEL (241)
"00001707720198173260";"";VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-10 00:00:00;PETICAO CIVEL
"00161369820198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00430630420198178201";PERDAS E DANOS;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00005102020188172140";DIREITO CIVIL;"2A VARA DA COMARCA DE AGUA PRETA";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00007010220128170580";"";VARA UNICA DA COMARCA DE EXU;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00013400920198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00007050320168172810";DIREITO CIVIL;"6A VARA CIVEL DA COMARCA DE JABOATAO DOS GUARARAPES";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00047613720188178201";FORNECIMENTO DE ENERGIA ELETRICA;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;CUMPRIMENTO DE SENTENCA
"00019484120188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00005386420188173020";"";"2A VARA DA COMARCA DE OURICURI";2020-01-10 00:00:00;DUVIDA
"00029669720188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00014476620128171420";FORNECIMENTO DE ENERGIA ELETRICA;VARA UNICA DA COMARCA DE TABIRA;2020-01-10 00:00:00;CAUTELAR INOMINADA
"00004381720158170110";"";SEGUNDA VARA CIVEL DA COMARCA AFOGADOS DA INGAZEIRA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00450051820178172001";OBRIGACAO DE FAZER;SECAO A DA 31A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;CUMPRIMENTO DE SENTENCA
"00003481020198173330";ANTECIPACAO DE TUTELA;VARA UNICA DA COMARCA DE SAO JOSE DO BELMONTE;2020-01-10 00:00:00;TUTELA ANTECIPADA ANTECEDENTE
"00027794420178178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00007706520108170560";INDENIZACAO POR DANO MORAL;"1A VARA DA COMARCA DE CUSTODIA";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00152934620188172001";DIREITO CIVIL;SECAO B DA 19A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00012927420158170380";INDENIZACAO POR DANO MORAL;PRIMEIRA VARA DA COMARCA DE CABROBO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00034041020198178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001561720198172380";DIREITO DO CONSUMIDOR;"1A VARA DA COMARCA DE CABROBO";2020-01-10 00:00:00;PETICAO CIVEL (241)
"00064975620198178201";DIREITO CIVIL;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00009819420188173220";DIREITO CIVIL;"1A VARA CIVEL DA COMARCA DE SALGUEIRO";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00004873320198178221";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00020764820168172730";DIREITO DO CONSUMIDOR;"2A VARA CIVEL DA COMARCA DE IPOJUCA";2020-01-10 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA (1294)
"00018748420188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00056455920168178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00306693320178178201";DIREITO DO CONSUMIDOR;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00007636020128170380";"";PRIMEIRA VARA DA COMARCA DE CABROBO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00004786220158170380";"";SEGUNDA VARA DA COMARCA DE CABROBO;2020-01-10 00:00:00;PROCEDIMENTO SUMARIO
"00116523920158170810";OBRIGACAO DE FAZER;TERCEIRA VARA CIVEL DA COMARCA DE JABOATAO DOS GUARARAPES;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00001000320198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00023598420188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00161369820198178201";OBRIGACAO DE FAZER;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00248761720138170001";FORNECIMENTO DE ENERGIA ELETRICA;DECIMA TERCEIRA VARA CIVEL DA CAPITAL - SECAO B;2020-01-10 00:00:00;PROCEDIMENTO SUMARIO
"00226334620158172001";DIREITO CIVIL;SECAO B DA 2A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000233720198173200";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;VARA UNICA DA COMARCA DE RIO FORMOSO;2020-01-10 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA (1294)
"00018748420188178232";"";JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO - TURNO MANHA - 07:00H AS 13:00H;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00002617320178173120";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;"5A VARA CIVEL DA COMARCA DE PETROLINA";2020-01-10 00:00:00;PETICAO CIVEL (241)
"00047613720188178201";DIREITO DO CONSUMIDOR;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00422496020178178201";DIREITO CIVIL;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00490141320188178201";FORNECIMENTO DE ENERGIA ELETRICA;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00148646920198178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000899620198173400";"";VARA UNICA DA COMARCA DE SIRINHAEM;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00003215520178173020";OBRIGACAO DE FAZER;"2A VARA DA COMARCA DE OURICURI";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00948290920188172001";DIREITO DE IMAGEM;SECAO A DA 16A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00000148920198173260";DIREITO DE IMAGEM;VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00129631320178172001";DIREITO CIVIL;SECAO A DA 5A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00219099520178178201";DIREITO DO CONSUMIDOR;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00486305020188178201";OBRIGACAO DE FAZER;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00285133820188178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00196379420188178201";INDENIZACAO POR DANO MATERIAL;"12O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO MANHA - 07:00H AS 13:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00009460220198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00034041020198178226";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00020764820168172730";INDENIZACAO POR DANO MORAL;"2A VARA CIVEL DA COMARCA DE IPOJUCA";2020-01-10 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA
"00265644220198178201";OBRIGACAO DE FAZER;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00035441520178178226";FORNECIMENTO DE ENERGIA ELETRICA;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA - TURNO TARDE - 13:00H AS 19:00H";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00000288420178178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006436320198173260";DIREITO CIVIL;VARA UNICA DA COMARCA DE SANTA MARIA DA BOA VISTA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00005965720188178229";ERRO MEDICO;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PALMARES - TURNO MANHA - 07:00H AS 13:00H;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL
"00020348220168170730";FORNECIMENTO DE ENERGIA ELETRICA;PRIMEIRA VARA CIVEL DA COMARCA DE IPOJUCA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00000616620198172580";INDENIZACAO POR DANO MORAL;VARA UNICA DA COMARCA DE EXU;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00063194520148170001";OBRIGACAO DE FAZER;DECIMA TERCEIRA VARA CIVEL DA CAPITAL - SECAO B;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00385056720168172001";DIREITO PROCESSUAL CIVIL E DO TRABALHO;SECAO A DA 4A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00050408620198178201";DIREITO CIVIL;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00498687020198178201";DIREITO CIVIL;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00013429420198178226";DIREITO DO CONSUMIDOR;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00256524520198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00185957320198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001290720178173220";DIREITO CIVIL;"1A VARA CIVEL DA COMARCA DE SALGUEIRO";2020-01-12 00:00:00;PETICAO CIVEL (241)
"00011017320178178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00384097120198178201";DIREITO DO CONSUMIDOR;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00473123220188178201";DIREITO DO CONSUMIDOR;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00477063920188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00001322320198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-12 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
